"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2002"	"2002"	"New Jersey"	"34"	553	8552643	6
	"2002"	"2002"	"New Mexico"	"35"	349	1855309	19
	"2002"	"2002"	"New York"	"36"	1228	19137800	6
	"2002"	"2002"	"North Carolina"	"37"	986	8326201	12
	"2002"	"2002"	"North Dakota"	"38"	91	638168	14
	"2002"	"2002"	"Ohio"	"39"	1287	11407889	11
	"2002"	"2002"	"Oklahoma"	"40"	501	3489080	14
	"2002"	"2002"	"Oregon"	"41"	518	3513424	15
	"2002"	"2002"	"Pennsylvania"	"42"	1341	12331031	11
	"2002"	"2002"	"Rhode Island"	"44"	86	1065995	8
	"2002"	"2002"	"South Carolina"	"45"	440	4107795	11
	"2002"	"2002"	"South Dakota"	"46"	94	760020	12
	"2002"	"2002"	"Tennessee"	"47"	778	5795918	13
	"2002"	"2002"	"Texas"	"48"	2311	21690325	11
	"2002"	"2002"	"Utah"	"49"	340	2324815	15
	"2002"	"2002"	"Vermont"	"50"	92	615442	15
	"2002"	"2002"	"Virginia"	"51"	799	7286873	11
	"2002"	"2002"	"Washington"	"53"	811	6052349	13
	"2002"	"2002"	"West Virginia"	"54"	276	1805414	15
	"2002"	"2002"	"Wisconsin"	"55"	627	5445162	12
	"2002"	"2002"	"Wyoming"	"56"	105	500017	21
	"2003"	"2003"	"Alabama"	"01"	521	4503491	12
	"2003"	"2003"	"Alaska"	"02"	124	648414	19
	"2003"	"2003"	"Arizona"	"04"	840	5510364	15
	"2003"	"2003"	"Arkansas"	"05"	374	2724816	14
	"2003"	"2003"	"California"	"06"	3397	35253159	10
	"2003"	"2003"	"Colorado"	"08"	728	4528732	16
	"2003"	"2003"	"Connecticut"	"09"	272	3484336	8
	"2003"	"2003"	"Delaware"	"10"	94	818003	11
	"2003"	"2003"	"District of Columbia"	"11"	36	568502	6
	"2003"	"2003"	"Florida"	"12"	2297	17004085	14
	"2003"	"2003"	"Georgia"	"13"	972	8622793	11
	"2003"	"2003"	"Hawaii"	"15"	131	1251154	10
	"2003"	"2003"	"Idaho"	"16"	217	1363380	16
	"2003"	"2003"	"Illinois"	"17"	1011	12556006	8
	"2003"	"2003"	"Indiana"	"18"	736	6196638	12
	"2003"	"2003"	"Iowa"	"19"	352	2941999	12
	"2003"	"2003"	"Kansas"	"20"	347	2723004	13
	"2003"	"2003"	"Kentucky"	"21"	567	4117170	14
	"2003"	"2003"	"Louisiana"	"22"	461	4521042	10
	"2003"	"2003"	"Maine"	"23"	137	1306513	10
	"2003"	"2003"	"Maryland"	"24"	491	5496269	9
	"2003"	"2003"	"Massachusetts"	"25"	433	6422565	7
	"2003"	"2003"	"Michigan"	"26"	1029	10041152	10
	"2003"	"2003"	"Minnesota"	"27"	497	5053572	10
	"2003"	"2003"	"Mississippi"	"28"	336	2868312	12
	"2003"	"2003"	"Missouri"	"29"	679	5709403	12
	"2003"	"2003"	"Montana"	"30"	180	919630	20
	"2003"	"2003"	"Nebraska"	"31"	176	1738643	10
